# EV base static points
# car_id,engineering_design,cost_manufacturing,business_plan,efficiency
33,150.00,75.00,64.50,61.50
99,125.00,82.00,66.60,60.84
85,127.00,70.00,72.00,64.20
31,133.00,70.00,61.80,75.00
26,120.00,75.00,53.70,44.87
90,110.00,94.00,66.50,39.36
63,137.00,75.00,74.00,67.20
95,115.00,55.00,46.30,59.16
277,110.00,80.00,51.70,35.02
42,115.00,30.00,51.70,36.26
123,100.00,65.00,64.50,45.55
124,105.00,25.00,41.10,42.56
94,110.00,95.00,54.20,26.11
131,115.00,40.00,64.10,35.12
141,105.00,70.00,63.70,51.49
54,100.00,55.00,59.10,40.05
313,65.00,70.00,66.10,42.36
22,90.00,55.00,57.30,33.25
76,131.00,86.00,75.00,0.00
40,110.00,60.00,69.90,0.00
41,60.00,70.00,60.30,16.28
59,120.00,65.00,52.60,0.00
172,90.00,25.00,64.90,32.71
7,115.00,65.00,70.00,0.00
227,70.00,50.00,64.40,27.31
44,100.00,80.00,57.90,0.00
253,80.00,35.00,47.00,24.85
78,95.00,60.00,53.40,0.00
197,60.00,40.00,48.80,0.00
127,80.00,55.00,64.20,0.00
75,80.00,50.00,58.20,0.00
35,80.00,55.00,52.10,0.00
399,115.00,50.00,65.20,0.00
279,35.00,35.00,62.60,0.90
110,75.00,45.00,45.80,0.00
320,95.00,88.00,66.40,0.00
67,85.00,60.00,59.90,0.00
34,50.00,50.00,52.30,8.75
24,65.00,40.00,46.90,0.00
29,50.00,20.00,50.70,37.56
92,85.00,45.00,40.60,0.00
101,75.00,40.00,47.00,0.00
149,65.00,60.00,59.10,0.00
284,100.00,50.00,56.40,0.00
43,100.00,70.00,54.20,0.00
16,65.00,35.00,57.30,0.00
62,75.00,75.00,51.90,0.00
60,55.00,55.00,46.20,0.00
171,65.00,40.00,65.30,0.00
77,80.00,80.00,54.60,0.00
51,65.00,65.00,63.70,0.00
68,60.00,10.00,60.40,0.00
240,70.00,45.00,58.40,0.00
19,60.00,40.00,59.00,0.00
48,40.00,20.00,40.80,25.73
69,80.00,50.00,62.80,0.00
121,75.00,55.00,57.30,0.00
53,80.00,55.00,48.40,0.00
17,50.00,50.00,47.00,0.00
242,65.00,10.00,58.30,0.00
161,65.00,60.00,48.70,0.00
36,85.00,40.00,60.00,0.00
30,55.00,35.00,52.70,0.00
167,60.00,35.00,45.40,0.00
97,45.00,40.00,50.70,0.00
120,35.00,25.00,43.60,0.00
66,80.00,35.00,44.20,0.00
79,75.00,25.00,53.10,0.00
23,55.00,30.00,55.40,0.00
188,55.00,55.00,47.80,0.00
153,50.00,35.00,19.00,0.00
272,70.00,15.00,43.20,0.00
84,35.00,20.00,62.60,0.00
27,45.00,30.00,52.70,0.00
20,75.00,5.00,35.20,0.00
73,45.00,35.00,73.00,0.00
49,40.00,35.00,37.90,0.00
13,45.00,5.00,48.10,0.00
208,60.00,20.00,25.30,0.00
11,55.00,0.00,45.60,0.00
18,40.00,35.00,28.50,0.00
163,30.00,0.00,0.00,0.00
14,0.00,0.00,0.00,0.00
86,0.00,0.00,0.00,0.00
