# EV base penalties
# car_id,penalty_points
car_id,penalty_points
33,0.00
99,0.00
85,0.00
31,0.00
26,0.00
90,0.00
63,0.00
95,0.00
277,0.00
42,25.00
123,0.00
124,10.00
94,20.00
131,0.00
141,0.00
54,0.00
313,0.00
22,0.00
76,10.00
40,0.00
41,0.00
59,0.00
172,0.00
7,10.00
227,0.00
44,10.00
253,0.00
78,0.00
197,0.00
127,10.00
75,0.00
35,0.00
399,0.00
279,0.00
110,10.00
320,0.00
67,0.00
34,0.00
24,0.00
29,0.00
92,0.00
101,0.00
149,0.00
284,0.00
43,40.00
16,0.00
62,0.00
60,10.00
171,10.00
77,0.00
51,0.00
68,0.00
240,0.00
19,0.00
48,0.00
69,10.00
121,0.00
53,0.00
17,0.00
242,0.00
161,0.00
36,20.00
30,0.00
167,10.00
97,10.00
120,0.00
66,0.00
79,10.00
23,0.00
188,10.00
153,10.00
272,0.00
84,20.00
27,0.00
20,0.00
73,40.00
49,0.00
13,0.00
208,10.00
11,10.00
18,30.00
163,10.00
14,20.00
86,0.00
